,Time,Total Load,Power,Power Generation (MW),Net Load,Load Reduction %
37,2013-07-15 13:00:00,10541.0,41518930.0,41.518928,10499.481072,0.3938803529076938
38,2013-07-15 14:00:00,10601.335714285715,43902456.0,43.902456,10557.433258285715,0.41412192937951886
39,2013-07-15 15:00:00,10701.533333333335,22780996.0,22.780996,10678.752337333335,0.2128759990780137
40,2013-07-15 16:00:00,10763.946666666665,29173956.0,29.173956,10734.772710666664,0.2710340073529412
41,2013-07-15 17:00:00,10769.574999999999,26669676.0,26.669676,10742.905324,0.2476390758223978
42,2013-07-15 18:00:00,10587.658333333333,27975098.0,27.975098,10559.683235333332,0.26422365663166
43,2013-07-15 19:00:00,10400.733333333332,32332160.0,32.33216,10368.401173333332,0.3108642339322228
44,2013-07-15 20:00:00,10216.216666666669,23279604.0,23.279604,10192.93706266667,0.22786912963539988
45,2013-07-15 21:00:00,10121.033333333335,19145002.0,19.145002,10101.888331333335,0.18916054684798322
46,2013-07-15 22:00:00,9765.208333333332,19728154.0,19.728154,9745.480179333332,0.20202491668977876
47,2013-07-15 23:00:00,9170.558333333332,11754952.0,11.754952,9158.803381333333,0.12818142116028924
48,2013-07-16 00:00:00,8553.616666666667,9129629.0,9.129629,8544.487037666668,0.10673413780135889
49,2013-07-16 01:00:00,8092.883333333334,13826792.0,13.826792,8079.056541333334,0.1708512458476892
50,2013-07-16 02:00:00,7760.7,31569474.0,31.569474,7729.130526,0.40678642390506015
51,2013-07-16 03:00:00,7556.783333333334,22289256.0,22.289256,7534.494077333334,0.29495692832267695
52,2013-07-16 04:00:00,7471.325,19615892.0,19.615892,7451.709108,0.2625490391597206
53,2013-07-16 05:00:00,7540.666666666667,5427061.0,5.427061,7535.239605666667,0.07197057289364335
54,2013-07-16 06:00:00,7912.900000000001,8003218.0,8.003218,7904.896782000001,0.10114140201443213
55,2013-07-16 07:00:00,8578.849999999999,12827834.0,12.827834,8566.022165999999,0.14952859649020558
56,2013-07-16 08:00:00,9175.991666666665,19539092.0,19.539092,9156.452574666664,0.2129371157885751
57,2013-07-16 09:00:00,9671.608333333335,22668228.0,22.668228,9648.940105333335,0.23437909413549793
58,2013-07-16 10:00:00,10024.485714285713,24013056.0,24.013056,10000.472658285713,0.23954401935831407
59,2013-07-16 11:00:00,10243.783333333333,30858380.0,30.85838,10212.924953333333,0.3012400691801695
60,2013-07-16 12:00:00,10318.65,29043378.0,29.043378,10289.606622,0.2814649009318079
61,2013-07-16 13:00:00,10366.699999999999,46724984.0,46.724984,10319.975015999999,0.45072186906151435
62,2013-07-16 14:00:00,10411.116666666667,45720496.0,45.720496,10365.396170666667,0.43915074111486596
63,2013-07-16 15:00:00,10502.516666666666,31563016.0,31.563016,10470.953650666666,0.3005281210376561
64,2013-07-16 16:00:00,10570.673333333334,22784896.0,22.784896,10547.888437333335,0.21554819907404194
65,2013-07-16 17:00:00,10566.628571428571,13545199.0,13.545199,10553.083372428571,0.1281884653031647
66,2013-07-16 18:00:00,10418.25,1465283.2,1.46528325,10416.78471675,0.014064581383629687
67,2013-07-16 19:00:00,10202.6,0.0,0.0,10202.6,0.0
68,2013-07-16 20:00:00,9963.557142857142,0.0,0.0,9963.557142857142,0.0
69,2013-07-16 21:00:00,9919.858333333332,664864.5,0.6648645,9919.193468833331,0.006702358820648481
70,2013-07-16 22:00:00,9575.708333333332,2459292.5,2.4592925,9573.249040833332,0.025682617038774336
71,2013-07-16 23:00:00,9030.091666666665,8804022.0,8.804022,9021.287644666665,0.09749648536236713
72,2013-07-17 00:00:00,8430.449999999999,11540022.0,11.540022,8418.909978,0.13688500613846238
73,2013-07-17 01:00:00,7994.391666666666,8833580.0,8.83358,7985.558086666666,0.11049721315046902
74,2013-07-17 02:00:00,7694.983333333333,17386194.0,17.386194,7677.597139333333,0.22594193186469977
75,2013-07-17 03:00:00,7502.341666666667,29480968.0,29.480968,7472.860698666667,0.3929568834619413
76,2013-07-17 04:00:00,7471.841666666667,35051580.0,35.05158,7436.790086666667,0.46911566871621335
77,2013-07-17 05:00:00,7600.899999999999,35086484.0,35.086484,7565.813515999998,0.4616095988632925
