Eastern Date Hour,Zone Name,DAM Forecast Load,GMT Start Hour
1/1/2019 18:00,MILLWD,342,23
1/1/2019 18:00,N.Y.C.,5548,23
1/1/2019 18:00,NORTH,691,23
1/1/2019 18:00,WEST,1892,23
1/1/2019 19:00,CAPITL,1440,0
1/1/2019 19:00,CENTRL,1894,0
1/1/2019 19:00,DUNWOD,686,0
1/1/2019 19:00,GENESE,1168,0
1/1/2019 19:00,HUD VL,1162,0
1/1/2019 19:00,LONGIL,2524,0
1/1/2019 19:00,MHK VL,837,0
1/1/2019 19:00,MILLWD,338,0
1/1/2019 19:00,N.Y.C.,5502,0
1/1/2019 19:00,NORTH,689,0
1/1/2019 19:00,WEST,1876,0
1/1/2019 20:00,CAPITL,1394,1
1/1/2019 20:00,CENTRL,1854,1
1/1/2019 20:00,DUNWOD,670,1
1/1/2019 20:00,GENESE,1135,1
1/1/2019 20:00,HUD VL,1134,1
1/1/2019 20:00,LONGIL,2461,1
1/1/2019 20:00,MHK VL,813,1
1/1/2019 20:00,MILLWD,330,1
1/1/2019 20:00,N.Y.C.,5412,1
1/1/2019 20:00,NORTH,686,1
1/1/2019 20:00,WEST,1845,1
1/1/2019 21:00,CAPITL,1327,2
1/1/2019 21:00,CENTRL,1783,2
1/1/2019 21:00,DUNWOD,644,2
1/1/2019 21:00,GENESE,1089,2
1/1/2019 21:00,HUD VL,1086,2
1/1/2019 21:00,LONGIL,2350,2
1/1/2019 21:00,MHK VL,769,2
1/1/2019 21:00,MILLWD,315,2
1/1/2019 21:00,N.Y.C.,5289,2
1/1/2019 21:00,NORTH,677,2
1/1/2019 21:00,WEST,1788,2
1/1/2019 22:00,CAPITL,1245,3
1/1/2019 22:00,CENTRL,1698,3
1/1/2019 22:00,DUNWOD,601,3
1/1/2019 22:00,GENESE,1031,3
1/1/2019 22:00,HUD VL,1015,3
1/1/2019 22:00,LONGIL,2178,3
1/1/2019 22:00,MHK VL,721,3
1/1/2019 22:00,MILLWD,293,3
1/1/2019 22:00,N.Y.C.,5088,3
1/1/2019 22:00,NORTH,661,3
1/1/2019 22:00,WEST,1710,3
1/1/2019 23:00,CAPITL,1178,4
1/1/2019 23:00,CENTRL,1631,4
1/1/2019 23:00,DUNWOD,559,4
1/1/2019 23:00,GENESE,982,4
1/1/2019 23:00,HUD VL,947,4
1/1/2019 23:00,LONGIL,1995,4
1/1/2019 23:00,MHK VL,692,4
1/1/2019 23:00,MILLWD,274,4
1/1/2019 23:00,N.Y.C.,4853,4
1/1/2019 23:00,NORTH,650,4
1/1/2019 23:00,WEST,1635,4
1/2/2019 0:00,CAPITL,1202,5
1/2/2019 0:00,CENTRL,1687,5
1/2/2019 0:00,DUNWOD,532,5
1/2/2019 0:00,GENESE,1017,5
1/2/2019 0:00,HUD VL,943,5
1/2/2019 0:00,LONGIL,1914,5
1/2/2019 0:00,MHK VL,728,5
1/2/2019 0:00,MILLWD,273,5
1/2/2019 0:00,N.Y.C.,4889,5
1/2/2019 0:00,NORTH,648,5
1/2/2019 0:00,WEST,1640,5
1/2/2019 1:00,CAPITL,1180,6
1/2/2019 1:00,CENTRL,1660,6
1/2/2019 1:00,DUNWOD,508,6
1/2/2019 1:00,GENESE,996,6
1/2/2019 1:00,HUD VL,913,6
1/2/2019 1:00,LONGIL,1828,6
1/2/2019 1:00,MHK VL,717,6
1/2/2019 1:00,MILLWD,261,6
1/2/2019 1:00,N.Y.C.,4682,6
1/2/2019 1:00,NORTH,642,6
1/2/2019 1:00,WEST,1611,6
1/2/2019 2:00,CAPITL,1170,7
1/2/2019 2:00,CENTRL,1639,7
1/2/2019 2:00,DUNWOD,493,7
1/2/2019 2:00,GENESE,982,7
1/2/2019 2:00,HUD VL,897,7
1/2/2019 2:00,LONGIL,1775,7
1/2/2019 2:00,MHK VL,711,7
1/2/2019 2:00,MILLWD,256,7
1/2/2019 2:00,N.Y.C.,4535,7
1/2/2019 2:00,NORTH,639,7
1/2/2019 2:00,WEST,1591,7
1/2/2019 3:00,CAPITL,1172,8
1/2/2019 3:00,CENTRL,1634,8
1/2/2019 3:00,DUNWOD,487,8
1/2/2019 3:00,GENESE,981,8
1/2/2019 3:00,HUD VL,892,8
1/2/2019 3:00,LONGIL,1758,8
1/2/2019 3:00,MHK VL,712,8
1/2/2019 3:00,MILLWD,254,8
1/2/2019 3:00,N.Y.C.,4466,8
1/2/2019 3:00,NORTH,641,8
1/2/2019 3:00,WEST,1586,8
1/2/2019 4:00,CAPITL,1196,9
1/2/2019 4:00,CENTRL,1664,9
1/2/2019 4:00,DUNWOD,495,9
1/2/2019 4:00,GENESE,1000,9
1/2/2019 4:00,HUD VL,904,9
1/2/2019 4:00,LONGIL,1788,9
1/2/2019 4:00,MHK VL,730,9
1/2/2019 4:00,MILLWD,258,9
1/2/2019 4:00,N.Y.C.,4488,9
1/2/2019 4:00,NORTH,648,9
1/2/2019 4:00,WEST,1602,9
1/2/2019 5:00,CAPITL,1264,10
1/2/2019 5:00,CENTRL,1755,10
1/2/2019 5:00,DUNWOD,527,10
1/2/2019 5:00,GENESE,1055,10
1/2/2019 5:00,HUD VL,950,10
1/2/2019 5:00,LONGIL,1894,10
1/2/2019 5:00,MHK VL,783,10
1/2/2019 5:00,MILLWD,276,10
1/2/2019 5:00,N.Y.C.,4700,10
1/2/2019 5:00,NORTH,666,10
1/2/2019 5:00,WEST,1661,10
1/2/2019 6:00,CAPITL,1389,11
1/2/2019 6:00,CENTRL,1907,11
1/2/2019 6:00,DUNWOD,596,11
1/2/2019 6:00,GENESE,1146,11
1/2/2019 6:00,HUD VL,1034,11
1/2/2019 6:00,LONGIL,2092,11
1/2/2019 6:00,MHK VL,864,11
1/2/2019 6:00,MILLWD,308,11
1/2/2019 6:00,N.Y.C.,5161,11
1/2/2019 6:00,NORTH,695,11
1/2/2019 6:00,WEST,1774,11
1/2/2019 7:00,CAPITL,1469,12
1/2/2019 7:00,CENTRL,2005,12
1/2/2019 7:00,DUNWOD,653,12
1/2/2019 7:00,GENESE,1208,12
1/2/2019 7:00,HUD VL,1093,12
1/2/2019 7:00,LONGIL,2221,12
1/2/2019 7:00,MHK VL,914,12
1/2/2019 7:00,MILLWD,330,12
1/2/2019 7:00,N.Y.C.,5631,12
1/2/2019 7:00,NORTH,710,12
1/2/2019 7:00,WEST,1862,12
1/2/2019 8:00,CAPITL,1480,13
1/2/2019 8:00,CENTRL,2019,13
1/2/2019 8:00,DUNWOD,668,13
1/2/2019 8:00,GENESE,1218,13
1/2/2019 8:00,HUD VL,1117,13
1/2/2019 8:00,LONGIL,2256,13
1/2/2019 8:00,MHK VL,925,13
1/2/2019 8:00,MILLWD,337,13
1/2/2019 8:00,N.Y.C.,5962,13
1/2/2019 8:00,NORTH,711,13
1/2/2019 8:00,WEST,1875,13
1/2/2019 9:00,CAPITL,1481,14
1/2/2019 9:00,CENTRL,2036,14
1/2/2019 9:00,DUNWOD,680,14
1/2/2019 9:00,GENESE,1233,14
1/2/2019 9:00,HUD VL,1133,14
1/2/2019 9:00,LONGIL,2278,14
1/2/2019 9:00,MHK VL,930,14
1/2/2019 9:00,MILLWD,341,14
1/2/2019 9:00,N.Y.C.,6191,14
1/2/2019 9:00,NORTH,710,14
1/2/2019 9:00,WEST,1893,14
1/2/2019 10:00,CAPITL,1481,15
1/2/2019 10:00,CENTRL,2046,15
1/2/2019 10:00,DUNWOD,691,15
1/2/2019 10:00,GENESE,1245,15
1/2/2019 10:00,HUD VL,1142,15
1/2/2019 10:00,LONGIL,2293,15
1/2/2019 10:00,MHK VL,931,15
1/2/2019 10:00,MILLWD,343,15
1/2/2019 10:00,N.Y.C.,6311,15
1/2/2019 10:00,NORTH,707,15
1/2/2019 10:00,WEST,1905,15
1/2/2019 11:00,CAPITL,1471,16
1/2/2019 11:00,CENTRL,2035,16
1/2/2019 11:00,DUNWOD,691,16
1/2/2019 11:00,GENESE,1242,16
1/2/2019 11:00,HUD VL,1141,16
1/2/2019 11:00,LONGIL,2305,16
1/2/2019 11:00,MHK VL,921,16
1/2/2019 11:00,MILLWD,343,16
1/2/2019 11:00,N.Y.C.,6371,16
1/2/2019 11:00,NORTH,704,16
1/2/2019 11:00,WEST,1902,16
1/2/2019 12:00,CAPITL,1450,17
1/2/2019 12:00,CENTRL,2013,17
1/2/2019 12:00,DUNWOD,689,17
1/2/2019 12:00,GENESE,1231,17
1/2/2019 12:00,HUD VL,1129,17
1/2/2019 12:00,LONGIL,2282,17
1/2/2019 12:00,MHK VL,906,17
1/2/2019 12:00,MILLWD,341,17
1/2/2019 12:00,N.Y.C.,6391,17
1/2/2019 12:00,NORTH,698,17
1/2/2019 12:00,WEST,1882,17
1/2/2019 13:00,CAPITL,1435,18
1/2/2019 13:00,CENTRL,1995,18
1/2/2019 13:00,DUNWOD,685,18
1/2/2019 13:00,GENESE,1226,18
1/2/2019 13:00,HUD VL,1124,18
1/2/2019 13:00,LONGIL,2268,18
1/2/2019 13:00,MHK VL,895,18
1/2/2019 13:00,MILLWD,340,18
1/2/2019 13:00,N.Y.C.,6394,18
1/2/2019 13:00,NORTH,691,18
1/2/2019 13:00,WEST,1875,18
1/2/2019 14:00,CAPITL,1425,19
1/2/2019 14:00,CENTRL,1974,19
1/2/2019 14:00,DUNWOD,681,19
1/2/2019 14:00,GENESE,1218,19
1/2/2019 14:00,HUD VL,1123,19
1/2/2019 14:00,LONGIL,2276,19
1/2/2019 14:00,MHK VL,883,19
1/2/2019 14:00,MILLWD,339,19
1/2/2019 14:00,N.Y.C.,6376,19
1/2/2019 14:00,NORTH,688,19
1/2/2019 14:00,WEST,1860,19
1/2/2019 15:00,CAPITL,1441,20
1/2/2019 15:00,CENTRL,1968,20
1/2/2019 15:00,DUNWOD,687,20
1/2/2019 15:00,GENESE,1215,20
1/2/2019 15:00,HUD VL,1135,20
1/2/2019 15:00,LONGIL,2325,20
1/2/2019 15:00,MHK VL,883,20
1/2/2019 15:00,MILLWD,343,20
1/2/2019 15:00,N.Y.C.,6398,20
1/2/2019 15:00,NORTH,690,20
1/2/2019 15:00,WEST,1848,20
1/2/2019 16:00,CAPITL,1529,21
1/2/2019 16:00,CENTRL,2037,21
1/2/2019 16:00,DUNWOD,729,21
1/2/2019 16:00,GENESE,1253,21
1/2/2019 16:00,HUD VL,1203,21
1/2/2019 16:00,LONGIL,2520,21
1/2/2019 16:00,MHK VL,927,21
1/2/2019 16:00,MILLWD,367,21
1/2/2019 16:00,N.Y.C.,6547,21
1/2/2019 16:00,NORTH,705,21
1/2/2019 16:00,WEST,1887,21
1/2/2019 17:00,CAPITL,1649,22
1/2/2019 17:00,CENTRL,2167,22
1/2/2019 17:00,DUNWOD,791,22
1/2/2019 17:00,GENESE,1340,22
1/2/2019 17:00,HUD VL,1307,22
1/2/2019 17:00,LONGIL,2801,22
1/2/2019 17:00,MHK VL,987,22
1/2/2019 17:00,MILLWD,400,22
1/2/2019 17:00,N.Y.C.,6759,22
1/2/2019 17:00,NORTH,725,22
1/2/2019 17:00,WEST,2001,22
1/2/2019 18:00,CAPITL,1650,23
1/2/2019 18:00,CENTRL,2176,23
1/2/2019 18:00,DUNWOD,798,23
1/2/2019 18:00,GENESE,1338,23
1/2/2019 18:00,HUD VL,1318,23
1/2/2019 18:00,LONGIL,2837,23
1/2/2019 18:00,MHK VL,996,23
1/2/2019 18:00,MILLWD,410,23
1/2/2019 18:00,N.Y.C.,6643,23
1/2/2019 18:00,NORTH,727,23
1/2/2019 18:00,WEST,2012,23
1/2/2019 19:00,CAPITL,1615,0
1/2/2019 19:00,CENTRL,2145,0
1/2/2019 19:00,DUNWOD,784,0
1/2/2019 19:00,GENESE,1310,0
1/2/2019 19:00,HUD VL,1300,0
1/2/2019 19:00,LONGIL,2790,0
1/2/2019 19:00,MHK VL,978,0
1/2/2019 19:00,MILLWD,404,0
1/2/2019 19:00,N.Y.C.,6489,0
1/2/2019 19:00,NORTH,722,0
1/2/2019 19:00,WEST,1987,0
1/2/2019 20:00,CAPITL,1566,1
1/2/2019 20:00,CENTRL,2090,1
1/2/2019 20:00,DUNWOD,758,1
1/2/2019 20:00,GENESE,1276,1
1/2/2019 20:00,HUD VL,1268,1
1/2/2019 20:00,LONGIL,2704,1
1/2/2019 20:00,MHK VL,947,1
1/2/2019 20:00,MILLWD,391,1
1/2/2019 20:00,N.Y.C.,6302,1
1/2/2019 20:00,NORTH,713,1
1/2/2019 20:00,WEST,1954,1
1/2/2019 21:00,CAPITL,1474,2
1/2/2019 21:00,CENTRL,1977,2
1/2/2019 21:00,DUNWOD,710,2
1/2/2019 21:00,GENESE,1203,2
1/2/2019 21:00,HUD VL,1198,2
1/2/2019 21:00,LONGIL,2521,2
1/2/2019 21:00,MHK VL,887,2
1/2/2019 21:00,MILLWD,364,2
1/2/2019 21:00,N.Y.C.,6046,2
1/2/2019 21:00,NORTH,692,2
1/2/2019 21:00,WEST,1884,2
1/2/2019 22:00,CAPITL,1365,3
1/2/2019 22:00,CENTRL,1846,3
1/2/2019 22:00,DUNWOD,648,3
1/2/2019 22:00,GENESE,1118,3
1/2/2019 22:00,HUD VL,1107,3
1/2/2019 22:00,LONGIL,2304,3
1/2/2019 22:00,MHK VL,823,3
1/2/2019 22:00,MILLWD,330,3
1/2/2019 22:00,N.Y.C.,5710,3
